step,temperature,best_hpwl,current_hpwl,accepted_moves,boltzmann_prob,elapsed_time_sec
1.0,10.0,631.0,758.0,524.0,0.9048374180359595,1.4066696166992188e-05
2.0,9.99,631.0,839.0,537.0,0.9047468482529377,0.0019669532775878906
3.0,9.98001,626.0,738.0,502.0,0.9046561968886792,0.0037107467651367188
4.0,9.97002999,626.0,769.0,531.0,0.9045654638787952,0.005755901336669922
5.0,9.96005996001,626.0,740.0,530.0,0.9044746491588648,0.007589817047119141
6.0,9.95009990004999,626.0,685.0,534.0,0.904383752664434,0.00934290885925293
7.0,9.940149800149939,626.0,748.0,529.0,0.9042927743310167,0.011026859283447266
8.0,9.93020965034979,626.0,695.0,539.0,0.9042017140940946,0.012715816497802734
9.0,9.92027944069944,626.0,744.0,540.0,0.9041105718891163,0.014369010925292969
10.0,9.910359161258741,626.0,748.0,528.0,0.9040193476514986,0.016078710556030273
11.0,9.900448802097483,626.0,814.0,529.0,0.9039280413166257,0.017785072326660156
12.0,9.890548353295385,626.0,761.0,565.0,0.9038366528198497,0.01956772804260254
13.0,9.88065780494209,626.0,777.0,517.0,0.9037451820964901,0.021261930465698242
14.0,9.870777147137147,626.0,780.0,547.0,0.9036536290818343,0.02283787727355957
15.0,9.86090636999001,626.0,669.0,491.0,0.9035619937111373,0.024437904357910156
16.0,9.85104546362002,626.0,842.0,529.0,0.9034702759196221,0.026156902313232422
17.0,9.8411944181564,626.0,726.0,523.0,0.9033784756424792,0.027861833572387695
18.0,9.831353223738244,626.0,789.0,532.0,0.9032865928148672,0.0297698974609375
19.0,9.821521870514506,626.0,709.0,514.0,0.9031946273719123,0.03144979476928711
20.0,9.81170034864399,626.0,744.0,548.0,0.9031025792487087,0.03317880630493164
21.0,9.801888648295346,626.0,691.0,476.0,0.9030104483803185,0.03480696678161621
22.0,9.79208675964705,626.0,761.0,503.0,0.9029182347017718,0.03675484657287598
23.0,9.782294672887403,626.0,723.0,513.0,0.9028259381480663,0.03837895393371582
24.0,9.772512378214515,626.0,692.0,532.0,0.9027335586541682,0.0400848388671875
25.0,9.7627398658363,626.0,709.0,542.0,0.9026410961550111,0.0418548583984375
26.0,9.752977125970464,626.0,737.0,504.0,0.9025485505854971,0.04368782043457031
27.0,9.743224148844494,626.0,753.0,506.0,0.9024559218804963,0.045305728912353516
28.0,9.73348092469565,626.0,726.0,493.0,0.9023632099748465,0.04688286781311035
29.0,9.723747443770954,626.0,745.0,508.0,0.902270414803354,0.04847884178161621
30.0,9.714023696327184,626.0,792.0,528.0,0.9021775363007932,0.050235748291015625
31.0,9.704309672630856,622.0,873.0,482.0,0.9020845744019065,0.05193495750427246
32.0,9.694605362958225,622.0,802.0,525.0,0.9019915290414043,0.05366873741149902
33.0,9.684910757595267,620.0,664.0,515.0,0.9018984001539658,0.055461883544921875
34.0,9.675225846837671,620.0,770.0,519.0,0.9018051876742379,0.057051897048950195
35.0,9.665550620990834,620.0,726.0,499.0,0.901711891536836,0.058629751205444336
36.0,9.655885070369843,620.0,728.0,449.0,0.9016185116763438,0.0605008602142334
37.0,9.646229185299473,620.0,820.0,495.0,0.901525048027313,0.062120914459228516
38.0,9.636582956114173,620.0,695.0,508.0,0.9014315005242642,0.06372594833374023
39.0,9.62694637315806,620.0,794.0,536.0,0.9013378691016861,0.06546878814697266
40.0,9.617319426784901,620.0,761.0,521.0,0.9012441536940357,0.0669858455657959
41.0,9.607702107358117,620.0,735.0,516.0,0.9011503542357384,0.06856584548950195
42.0,9.598094405250759,620.0,758.0,511.0,0.9010564706611884,0.07017803192138672
