temperature,current_cost,best_cost
0.999,1281,1104
0.998001,1104,955
0.997002999,957,823
0.996005996001,823,693
0.995009990004999,693,626
0.994014980014994,626,616
0.993020965034979,618,598
0.9920279440699441,598,570
0.9910359161258742,570,540
0.9900448802097482,540,534
0.9890548353295385,534,526
0.988065780494209,526,508
0.9870777147137147,508,498
0.986090636999001,498,493
0.9851045463620021,497,493
0.98411944181564,494,475
0.9831353223738244,475,470
0.9821521870514506,470,466
0.9811700348643991,466,466
0.9801888648295347,466,453
0.9792086759647052,459,453
0.9782294672887405,453,453
0.9772512378214517,453,435
0.9762739865836303,435,429
0.9752977125970467,429,429
0.9743224148844496,429,417
0.9733480924695651,417,408
0.9723747443770956,408,396
0.9714023696327185,396,396
0.9704309672630859,396,390
0.9694605362958227,390,386
0.9684910757595269,388,386
0.9675225846837673,386,382
0.9665550620990835,382,382
0.9655885070369844,382,374
0.9646229185299474,374,365
0.9636582956114175,365,365
0.9626946373158061,365,363
0.9617319426784903,363,363
0.9607702107358118,364,363
0.959809440525076,368,363
0.9588496310845509,365,363
0.9578907814534664,365,363
0.9569328906720129,363,363
0.9559759577813409,363,363
0.9550199818235596,363,361
0.9540649618417361,361,359
0.9531108968798944,359,356
0.9521577859830145,356,356
0.9512056281970315,356,352
0.9502544225688344,354,352
0.9493041681462656,352,352
0.9483548639781193,352,348
0.9474065091141411,350,348
0.946459102605027,350,345
0.9455126435024219,345,345
0.9445671308589195,345,345
0.9436225637280606,345,343
0.9426789411643326,343,343
0.9417362622231683,345,343
0.9407945259609451,345,343
0.9398537314349842,347,343
0.9389138777035492,345,343
0.9379749638258457,349,343
0.9370369888620198,352,343
0.9360999518731578,347,343
0.9351638519212846,350,343
0.9342286880693633,345,343
0.933294459381294,345,343
0.9323611649219127,348,343
0.9314288037569908,343,343
0.9304973749532338,343,341
0.9295668775782806,341,341
0.9286373107007023,341,341
0.9277086733900016,341,340
0.9267809647166116,340,340
0.925854183751895,340,340
0.9249283295681431,340,338
0.9240034012385749,338,332
0.9230793978373364,332,332
0.9221563184394991,332,326
0.9212341621210596,326,326
0.9203129279589385,326,322
0.9193926150309796,324,322
0.9184732224159486,322,308
0.9175547491935327,308,306
0.9166371944443392,306,298
0.9157205572498949,298,298
0.914804836692645,298,296
0.9138900318559524,296,290
0.9129761418240965,290,284
0.9120631656822724,284,284
0.9111511025165902,284,284
0.9102399514140735,286,284
0.9093297114626595,286,284
0.9084203817511969,289,284
0.9075119613694457,290,284
0.9066044494080763,289,284
0.9056978449586682,291,284
0.9047921471137096,291,284
0.9038873549665959,287,284
0.9029834676116293,287,284
0.9020804841440176,287,284
0.9011784036598737,287,284
0.9002772252562138,287,284
0.8993769480309576,287,284
0.8984775710829266,285,281
0.8975790935118436,281,279
0.8966815144183318,279,279
0.8957848329039134,280,278
0.8948890480710096,278,278
0.8939941590229386,280,278
0.8931001648639156,279,278
0.8922070646990518,281,278
0.8913148576343527,285,278
0.8904235427767183,285,278
0.8895331192339416,285,278
0.8886435861147077,289,278
0.887754942528593,287,278
0.8868671875860644,287,278
0.8859803203984784,287,278
0.88509434007808,284,278
0.8842092457380019,284,278
0.8833250364922639,286,278
0.8824417114557717,284,278
0.8815592697443159,284,278
0.8806777104745716,281,278
0.8797970327640969,279,277
0.8789172357313328,277,275
0.8780383184956015,275,275
0.8771602801771059,275,275
0.8762831198969288,275,275
0.8754068367770318,277,275
0.8745314299402548,277,275
0.8736568985103146,279,275
0.8727832416118043,279,275
0.8719104583701925,277,275
0.8710385479118223,279,275
0.8701675093639105,279,275
0.8692973418545467,277,272
0.8684280445126921,274,272
0.8675596164681794,274,272
0.8666920568517111,274,272
0.8658253647948594,274,272
0.8649595394300645,276,272
0.8640945798906344,276,272
0.8632304853107438,276,272
0.862367254825433,276,272
0.8615048875706075,274,272
0.8606433826830369,273,271
0.8597827393003539,271,271
0.8589229565610536,271,267
0.8580640336044925,269,267
0.857205969570888,269,267
0.8563487636013172,270,267
0.8554924148377159,272,267
0.8546369224228781,274,267
0.8537822855004553,274,267
0.8529285032149548,276,267
0.8520755747117399,276,267
0.8512234991370281,278,267
0.8503722756378911,280,267
0.8495219033622532,280,267
0.8486723814588909,282,267
0.847823709077432,282,267
0.8469758853683546,280,267
0.8461289094829862,278,267
0.8452827805735033,278,267
0.8444374977929298,274,267
0.8435930602951368,272,267
0.8427494672348417,274,267
0.8419067177676068,274,267
0.8410648110498392,271,267
0.8402237462387894,271,267
0.8393835224925505,271,267
0.838544138970058,267,265
0.8377055948310879,265,264
0.8368678892362568,264,264
0.8360310213470206,264,264
0.8351949903256736,266,264
0.8343597953353479,266,264
0.8335254355400126,266,264
0.8326919101044725,266,264
0.831859218194368,268,264
0.8310273589761736,268,264
0.8301963316171974,266,255
0.8293661352855802,255,255
0.8285367691502946,257,255
0.8277082323811443,257,255
0.8268805241487632,257,255
0.8260536436246144,257,255
0.8252275899809898,257,255
0.8244023623910088,257,253
0.8235779600286178,255,253
0.8227543820685892,255,253
0.8219316276865206,255,253
0.8211096960588341,255,253
0.8202885863627752,253,253
0.8194682977764125,253,253
0.818648829478636,255,253
0.8178301806491574,255,253
0.8170123504685082,256,253
0.8161953381180397,256,253
0.8153791427799216,256,253
0.8145637636371417,256,253
0.8137491998735046,256,253
0.812935450673631,260,253
0.8121225152229574,260,253
0.8113103927077344,260,253
0.8104990823150267,260,253
0.8096885832327116,260,253
0.8088788946494789,264,253
0.8080700157548294,264,253
0.8072619457390746,260,253
0.8064546837933355,258,253
0.8056482291095421,258,253
0.8048425808804326,258,253
0.8040377382995522,258,253
0.8032337005612527,260,253
0.8024304668606914,260,253
0.8016280363938307,260,253
0.8008264083574369,257,253
0.8000255819490795,259,253
0.7992255563671304,254,253
0.7984263308107633,254,253
