step,temperature,best_hpwl,current_hpwl,accepted_moves,boltzmann_prob,elapsed_time_sec
1.0,10.0,214.0,280.0,334.0,0.9048374180359595,2.002716064453125e-05
2.0,9.99,214.0,261.0,303.0,0.9047468482529377,0.0009570121765136719
3.0,9.98001,214.0,239.0,309.0,0.9046561968886792,0.0018270015716552734
4.0,9.97002999,214.0,286.0,313.0,0.9045654638787952,0.0026900768280029297
5.0,9.96005996001,214.0,299.0,329.0,0.9044746491588648,0.003551959991455078
6.0,9.95009990004999,214.0,221.0,319.0,0.904383752664434,0.0043680667877197266
7.0,9.940149800149939,214.0,280.0,325.0,0.9042927743310167,0.005205869674682617
8.0,9.93020965034979,214.0,266.0,339.0,0.9042017140940946,0.0060269832611083984
9.0,9.92027944069944,214.0,276.0,316.0,0.9041105718891163,0.006844043731689453
10.0,9.910359161258741,214.0,303.0,333.0,0.9040193476514986,0.007678985595703125
11.0,9.900448802097483,214.0,275.0,324.0,0.9039280413166257,0.008537054061889648
12.0,9.890548353295385,214.0,274.0,312.0,0.9038366528198497,0.009371042251586914
13.0,9.88065780494209,214.0,286.0,302.0,0.9037451820964901,0.010215044021606445
14.0,9.870777147137147,214.0,273.0,343.0,0.9036536290818343,0.011050939559936523
15.0,9.86090636999001,214.0,298.0,342.0,0.9035619937111373,0.011893987655639648
16.0,9.85104546362002,214.0,286.0,329.0,0.9034702759196221,0.01286005973815918
17.0,9.8411944181564,214.0,284.0,321.0,0.9033784756424792,0.013668060302734375
18.0,9.831353223738244,214.0,300.0,316.0,0.9032865928148672,0.014512062072753906
19.0,9.821521870514506,214.0,278.0,336.0,0.9031946273719123,0.015383005142211914
20.0,9.81170034864399,214.0,303.0,335.0,0.9031025792487087,0.016242027282714844
21.0,9.801888648295346,214.0,270.0,336.0,0.9030104483803185,0.01714491844177246
22.0,9.79208675964705,214.0,264.0,313.0,0.9029182347017718,0.01801013946533203
23.0,9.782294672887403,214.0,307.0,332.0,0.9028259381480663,0.018844127655029297
24.0,9.772512378214515,214.0,271.0,316.0,0.9027335586541682,0.0196688175201416
25.0,9.7627398658363,214.0,274.0,335.0,0.9026410961550111,0.020492076873779297
26.0,9.752977125970464,214.0,279.0,311.0,0.9025485505854971,0.02129507064819336
27.0,9.743224148844494,214.0,253.0,327.0,0.9024559218804963,0.022110939025878906
28.0,9.73348092469565,214.0,324.0,339.0,0.9023632099748465,0.022979021072387695
29.0,9.723747443770954,214.0,281.0,329.0,0.902270414803354,0.02384209632873535
30.0,9.714023696327184,214.0,289.0,333.0,0.9021775363007932,0.024679183959960938
31.0,9.704309672630856,214.0,308.0,347.0,0.9020845744019065,0.025510072708129883
32.0,9.694605362958225,214.0,254.0,343.0,0.9019915290414043,0.026363134384155273
33.0,9.684910757595267,214.0,261.0,325.0,0.9018984001539658,0.02720189094543457
34.0,9.675225846837671,214.0,231.0,313.0,0.9018051876742379,0.02799510955810547
35.0,9.665550620990834,214.0,276.0,301.0,0.901711891536836,0.02879500389099121
36.0,9.655885070369843,214.0,288.0,304.0,0.9016185116763438,0.029636144638061523
37.0,9.646229185299473,214.0,261.0,321.0,0.901525048027313,0.03047013282775879
38.0,9.636582956114173,214.0,289.0,319.0,0.9014315005242642,0.0312800407409668
39.0,9.62694637315806,214.0,293.0,307.0,0.9013378691016861,0.03208112716674805
40.0,9.617319426784901,214.0,259.0,333.0,0.9012441536940357,0.032946109771728516
41.0,9.607702107358117,214.0,262.0,313.0,0.9011503542357384,0.03373408317565918
42.0,9.598094405250759,206.0,277.0,318.0,0.9010564706611884,0.0345311164855957
43.0,9.588496310845509,206.0,245.0,318.0,0.9009625029047481,0.03541707992553711
44.0,9.578907814534663,206.0,253.0,318.0,0.9008684509007485,0.03622913360595703
45.0,9.569328906720129,206.0,297.0,325.0,0.9007743145834891,0.03701591491699219
46.0,9.55975957781341,206.0,309.0,310.0,0.9006800938872381,0.03785109519958496
47.0,9.550199818235596,206.0,255.0,343.0,0.9005857887462322,0.03864598274230957
48.0,9.54064961841736,206.0,257.0,299.0,0.9004913990946766,0.03943204879760742
49.0,9.531108968798943,206.0,292.0,335.0,0.9003969248667455,0.04021286964416504
50.0,9.521577859830144,206.0,262.0,298.0,0.9003023659965814,0.0410161018371582
51.0,9.512056281970313,206.0,273.0,311.0,0.900207722418296,0.041812896728515625
52.0,9.502544225688343,206.0,280.0,256.0,0.9001129940659692,0.042608022689819336
53.0,9.493041681462655,206.0,264.0,296.0,0.9000181808736503,0.04353189468383789
54.0,9.483548639781192,206.0,267.0,300.0,0.8999232827753565,0.04437112808227539
55.0,9.47406509114141,206.0,297.0,314.0,0.8998282997050749,0.045172929763793945
56.0,9.464591026050268,206.0,286.0,310.0,0.8997332315967607,0.0460050106048584
57.0,9.455126435024217,206.0,284.0,281.0,0.8996380783843384,0.046842098236083984
58.0,9.445671308589192,206.0,291.0,337.0,0.8995428400017011,0.04763507843017578
59.0,9.436225637280604,206.0,256.0,299.0,0.8994475163827113,0.04841899871826172
60.0,9.426789411643323,206.0,305.0,320.0,0.8993521074612001,0.04921102523803711
61.0,9.41736262223168,206.0,260.0,305.0,0.8992566131709677,0.05001211166381836
62.0,9.407945259609448,206.0,279.0,327.0,0.8991610334457835,0.05083799362182617
63.0,9.39853731434984,206.0,257.0,297.0,0.8990653682193858,0.05164003372192383
64.0,9.38913877703549,206.0,262.0,289.0,0.8989696174254821,0.052429914474487305
65.0,9.379749638258454,206.0,302.0,301.0,0.8988737809977492,0.05324888229370117
