step,temperature,best_hpwl,current_hpwl,accepted_moves,boltzmann_prob,elapsed_time_sec
1.0,10.0,6109.0,6317.0,1611.0,0.9048374180359595,2.288818359375e-05
2.0,9.99,5988.0,6301.0,1293.0,0.9047468482529377,0.01861095428466797
3.0,9.98001,5953.0,6364.0,1269.0,0.9046561968886792,0.029057979583740234
4.0,9.97002999,5953.0,6313.0,1222.0,0.9045654638787952,0.03974509239196777
5.0,9.96005996001,5953.0,6324.0,1184.0,0.9044746491588648,0.04984402656555176
6.0,9.95009990004999,5953.0,6551.0,1257.0,0.904383752664434,0.059813737869262695
7.0,9.940149800149939,5953.0,6510.0,1270.0,0.9042927743310167,0.06994986534118652
8.0,9.93020965034979,5939.0,6160.0,1156.0,0.9042017140940946,0.07993793487548828
9.0,9.92027944069944,5939.0,6175.0,1252.0,0.9041105718891163,0.09009981155395508
10.0,9.910359161258741,5836.0,6080.0,1260.0,0.9040193476514986,0.10064291954040527
11.0,9.900448802097483,5836.0,5977.0,1194.0,0.9039280413166257,0.11122608184814453
12.0,9.890548353295385,5836.0,6187.0,1171.0,0.9038366528198497,0.12126398086547852
13.0,9.88065780494209,5762.0,5888.0,1183.0,0.9037451820964901,0.1315009593963623
14.0,9.870777147137147,5681.0,5928.0,1115.0,0.9036536290818343,0.14187002182006836
15.0,9.86090636999001,5681.0,6097.0,1142.0,0.9035619937111373,0.15258097648620605
16.0,9.85104546362002,5681.0,5942.0,1177.0,0.9034702759196221,0.16266703605651855
17.0,9.8411944181564,5681.0,5938.0,1166.0,0.9033784756424792,0.1728229522705078
18.0,9.831353223738244,5681.0,6075.0,1183.0,0.9032865928148672,0.18293976783752441
19.0,9.821521870514506,5681.0,5995.0,1092.0,0.9031946273719123,0.1932358741760254
20.0,9.81170034864399,5681.0,6268.0,1073.0,0.9031025792487087,0.20323395729064941
21.0,9.801888648295346,5681.0,6089.0,1244.0,0.9030104483803185,0.2132129669189453
22.0,9.79208675964705,5681.0,6244.0,1160.0,0.9029182347017718,0.22342801094055176
23.0,9.782294672887403,5681.0,6007.0,1096.0,0.9028259381480663,0.2333660125732422
24.0,9.772512378214515,5646.0,6072.0,1095.0,0.9027335586541682,0.24380898475646973
25.0,9.7627398658363,5646.0,6014.0,1174.0,0.9026410961550111,0.2538900375366211
26.0,9.752977125970464,5646.0,5942.0,1106.0,0.9025485505854971,0.26399779319763184
27.0,9.743224148844494,5646.0,5865.0,1119.0,0.9024559218804963,0.27391886711120605
28.0,9.73348092469565,5646.0,6424.0,1078.0,0.9023632099748465,0.28397297859191895
29.0,9.723747443770954,5646.0,5825.0,1115.0,0.902270414803354,0.2941601276397705
30.0,9.714023696327184,5646.0,6082.0,1083.0,0.9021775363007932,0.3039228916168213
31.0,9.704309672630856,5646.0,5912.0,1112.0,0.9020845744019065,0.31392407417297363
32.0,9.694605362958225,5646.0,5851.0,1155.0,0.9019915290414043,0.32397890090942383
33.0,9.684910757595267,5616.0,5656.0,1102.0,0.9018984001539658,0.3341538906097412
34.0,9.675225846837671,5616.0,6079.0,1128.0,0.9018051876742379,0.3442370891571045
35.0,9.665550620990834,5616.0,5994.0,1150.0,0.901711891536836,0.3542189598083496
36.0,9.655885070369843,5616.0,6004.0,1129.0,0.9016185116763438,0.3640470504760742
37.0,9.646229185299473,5616.0,5884.0,1109.0,0.901525048027313,0.3740668296813965
38.0,9.636582956114173,5572.0,5941.0,1087.0,0.9014315005242642,0.3841578960418701
39.0,9.62694637315806,5572.0,5971.0,1042.0,0.9013378691016861,0.3943209648132324
40.0,9.617319426784901,5572.0,5843.0,1098.0,0.9012441536940357,0.40424489974975586
41.0,9.607702107358117,5572.0,5746.0,1139.0,0.9011503542357384,0.41405296325683594
42.0,9.598094405250759,5572.0,5960.0,1123.0,0.9010564706611884,0.42403697967529297
43.0,9.588496310845509,5572.0,5854.0,1096.0,0.9009625029047481,0.4337348937988281
44.0,9.578907814534663,5354.0,5653.0,1091.0,0.9008684509007485,0.4436800479888916
45.0,9.569328906720129,5354.0,5789.0,1042.0,0.9007743145834891,0.45363712310791016
46.0,9.55975957781341,5354.0,5915.0,1010.0,0.9006800938872381,0.46343183517456055
47.0,9.550199818235596,5354.0,6045.0,1094.0,0.9005857887462322,0.473466157913208
48.0,9.54064961841736,5354.0,5948.0,1089.0,0.9004913990946766,0.48320508003234863
49.0,9.531108968798943,5354.0,5590.0,1018.0,0.9003969248667455,0.4930999279022217
50.0,9.521577859830144,5354.0,5702.0,1031.0,0.9003023659965814,0.5029208660125732
51.0,9.512056281970313,5354.0,5985.0,1114.0,0.900207722418296,0.5128469467163086
52.0,9.502544225688343,5354.0,5873.0,1099.0,0.9001129940659692,0.5227310657501221
53.0,9.493041681462655,5354.0,5842.0,1034.0,0.9000181808736503,0.5326719284057617
54.0,9.483548639781192,5354.0,5866.0,1095.0,0.8999232827753565,0.5423848628997803
55.0,9.47406509114141,5354.0,5949.0,1132.0,0.8998282997050749,0.5523078441619873
56.0,9.464591026050268,5354.0,5736.0,1083.0,0.8997332315967607,0.562187910079956
57.0,9.455126435024217,5354.0,5632.0,1003.0,0.8996380783843384,0.5717818737030029
58.0,9.445671308589192,5354.0,5655.0,1032.0,0.8995428400017011,0.5813648700714111
59.0,9.436225637280604,5354.0,6001.0,1097.0,0.8994475163827113,0.5911829471588135
60.0,9.426789411643323,5354.0,5956.0,1120.0,0.8993521074612001,0.6009447574615479
61.0,9.41736262223168,5354.0,5980.0,1061.0,0.8992566131709677,0.6105799674987793
62.0,9.407945259609448,5354.0,6082.0,1059.0,0.8991610334457835,0.6202187538146973
63.0,9.39853731434984,5354.0,5923.0,1031.0,0.8990653682193858,0.6300249099731445
64.0,9.38913877703549,5354.0,5843.0,987.0,0.8989696174254821,0.6398599147796631
65.0,9.379749638258454,5354.0,5894.0,977.0,0.8988737809977492,0.6497149467468262
66.0,9.370369888620196,5354.0,5906.0,1030.0,0.8987778588698327,0.6595208644866943
67.0,9.360999518731576,5354.0,5459.0,1002.0,0.8986818509753478,0.669849157333374
68.0,9.351638519212845,5354.0,5562.0,978.0,0.8985857572478786,0.6792669296264648
69.0,9.342286880693631,5354.0,5980.0,1009.0,0.8984895776209788,0.6891298294067383
70.0,9.332944593812938,5354.0,5851.0,1017.0,0.8983933120281711,0.69858717918396
71.0,9.323611649219124,5354.0,5883.0,997.0,0.8982969604029476,0.7079129219055176
72.0,9.314288037569906,5354.0,5698.0,1006.0,0.89820052267877,0.7171840667724609
