temperature,current_cost,best_cost
0.999,14650,12818
0.998001,12818,11179
0.997002999,11179,9854
0.996005996001,9854,9035
0.995009990004999,9035,8291
0.994014980014994,8291,7746
0.993020965034979,7748,7343
0.9920279440699441,7343,6996
0.9910359161258742,6996,6617
0.9900448802097482,6617,6425
0.9890548353295385,6425,6321
0.988065780494209,6321,6187
0.9870777147137147,6187,6046
0.986090636999001,6046,5952
0.9851045463620021,5952,5829
0.98411944181564,5829,5718
0.9831353223738244,5720,5627
0.9821521870514506,5627,5529
0.9811700348643991,5529,5430
0.9801888648295347,5430,5327
0.9792086759647052,5327,5198
0.9782294672887405,5198,5141
0.9772512378214517,5143,5082
0.9762739865836303,5082,5025
0.9752977125970467,5025,4934
0.9743224148844496,4934,4892
0.9733480924695651,4892,4825
0.9723747443770956,4825,4780
0.9714023696327185,4780,4730
0.9704309672630859,4730,4712
0.9694605362958227,4712,4700
0.9684910757595269,4702,4660
0.9675225846837673,4660,4636
0.9665550620990835,4636,4608
0.9655885070369844,4608,4573
0.9646229185299474,4573,4530
0.9636582956114175,4530,4516
0.9626946373158061,4516,4496
0.9617319426784903,4496,4473
0.9607702107358118,4473,4451
0.959809440525076,4451,4425
0.9588496310845509,4425,4399
0.9578907814534664,4399,4371
0.9569328906720129,4373,4314
0.9559759577813409,4314,4301
0.9550199818235596,4301,4281
0.9540649618417361,4281,4251
0.9531108968798944,4251,4243
0.9521577859830145,4243,4222
0.9512056281970315,4222,4214
0.9502544225688344,4214,4195
0.9493041681462656,4195,4162
0.9483548639781193,4168,4162
0.9474065091141411,4162,4146
0.946459102605027,4146,4131
0.9455126435024219,4131,4117
0.9445671308589195,4119,4091
0.9436225637280606,4091,4072
0.9426789411643326,4072,4068
0.9417362622231683,4068,4040
0.9407945259609451,4040,4032
0.9398537314349842,4032,3991
0.9389138777035492,3991,3989
0.9379749638258457,3989,3951
0.9370369888620198,3951,3925
0.9360999518731578,3925,3913
0.9351638519212846,3913,3899
0.9342286880693633,3899,3888
0.933294459381294,3888,3886
0.9323611649219127,3888,3882
0.9314288037569908,3884,3862
0.9304973749532338,3862,3848
0.9295668775782806,3848,3848
0.9286373107007023,3848,3839
0.9277086733900016,3839,3811
0.9267809647166116,3811,3797
0.925854183751895,3797,3791
0.9249283295681431,3792,3788
0.9240034012385749,3788,3772
0.9230793978373364,3772,3761
0.9221563184394991,3761,3733
0.9212341621210596,3733,3723
0.9203129279589385,3723,3704
0.9193926150309796,3704,3698
0.9184732224159486,3698,3669
0.9175547491935327,3669,3661
0.9166371944443392,3662,3654
0.9157205572498949,3654,3640
0.914804836692645,3640,3628
0.9138900318559524,3628,3625
0.9129761418240965,3625,3625
0.9120631656822724,3625,3625
0.9111511025165902,3625,3607
0.9102399514140735,3607,3593
0.9093297114626595,3593,3577
0.9084203817511969,3579,3572
0.9075119613694457,3572,3560
0.9066044494080763,3560,3550
0.9056978449586682,3550,3518
0.9047921471137096,3518,3516
0.9038873549665959,3516,3515
0.9029834676116293,3515,3509
0.9020804841440176,3509,3503
0.9011784036598737,3503,3499
0.9002772252562138,3499,3493
0.8993769480309576,3493,3489
0.8984775710829266,3489,3475
0.8975790935118436,3475,3469
0.8966815144183318,3469,3463
0.8957848329039134,3463,3451
0.8948890480710096,3451,3450
0.8939941590229386,3450,3450
0.8931001648639156,3450,3434
0.8922070646990518,3434,3425
0.8913148576343527,3425,3421
0.8904235427767183,3421,3417
0.8895331192339416,3417,3411
0.8886435861147077,3415,3409
0.887754942528593,3409,3409
0.8868671875860644,3413,3407
0.8859803203984784,3407,3405
0.88509434007808,3407,3397
0.8842092457380019,3397,3383
0.8833250364922639,3383,3377
0.8824417114557717,3377,3373
0.8815592697443159,3373,3363
0.8806777104745716,3363,3363
0.8797970327640969,3363,3354
0.8789172357313328,3354,3352
0.8780383184956015,3352,3352
0.8771602801771059,3354,3346
0.8762831198969288,3346,3340
0.8754068367770318,3342,3340
0.8745314299402548,3340,3336
0.8736568985103146,3336,3328
0.8727832416118043,3328,3326
0.8719104583701925,3326,3322
0.8710385479118223,3322,3320
0.8701675093639105,3320,3304
0.8692973418545467,3304,3300
0.8684280445126921,3300,3294
0.8675596164681794,3294,3293
0.8666920568517111,3293,3287
0.8658253647948594,3287,3281
0.8649595394300645,3281,3279
0.8640945798906344,3279,3267
0.8632304853107438,3267,3267
0.862367254825433,3267,3253
0.8615048875706075,3253,3245
0.8606433826830369,3245,3245
0.8597827393003539,3245,3241
0.8589229565610536,3241,3239
0.8580640336044925,3239,3237
0.857205969570888,3237,3231
0.8563487636013172,3231,3226
0.8554924148377159,3226,3212
0.8546369224228781,3212,3210
0.8537822855004553,3214,3198
0.8529285032149548,3198,3192
0.8520755747117399,3192,3187
0.8512234991370281,3187,3185
0.8503722756378911,3185,3181
0.8495219033622532,3183,3181
0.8486723814588909,3183,3181
0.847823709077432,3181,3175
0.8469758853683546,3175,3173
0.8461289094829862,3173,3169
0.8452827805735033,3169,3161
0.8444374977929298,3161,3151
0.8435930602951368,3151,3145
0.8427494672348417,3145,3143
0.8419067177676068,3145,3135
0.8410648110498392,3135,3135
0.8402237462387894,3135,3135
0.8393835224925505,3135,3128
0.838544138970058,3128,3128
0.8377055948310879,3128,3113
0.8368678892362568,3113,3105
0.8360310213470206,3105,3105
0.8351949903256736,3105,3105
0.8343597953353479,3105,3103
0.8335254355400126,3103,3097
0.8326919101044725,3097,3085
0.831859218194368,3085,3085
0.8310273589761736,3087,3085
0.8301963316171974,3085,3075
0.8293661352855802,3077,3075
0.8285367691502946,3075,3075
0.8277082323811443,3075,3072
0.8268805241487632,3072,3064
0.8260536436246144,3064,3060
0.8252275899809898,3060,3059
0.8244023623910088,3059,3045
0.8235779600286178,3045,3035
0.8227543820685892,3037,3035
0.8219316276865206,3037,3031
0.8211096960588341,3031,3031
0.8202885863627752,3031,3031
0.8194682977764125,3031,3025
0.818648829478636,3025,3023
0.8178301806491574,3023,3011
0.8170123504685082,3013,3007
0.8161953381180397,3007,3007
0.8153791427799216,3007,3007
0.8145637636371417,3007,3005
0.8137491998735046,3005,3003
0.812935450673631,3005,2993
0.8121225152229574,2993,2992
0.8113103927077344,2992,2988
0.8104990823150267,2988,2986
0.8096885832327116,2986,2978
0.8088788946494789,2978,2976
0.8080700157548294,2976,2975
0.8072619457390746,2977,2963
0.8064546837933355,2963,2961
0.8056482291095421,2961,2943
0.8048425808804326,2943,2943
0.8040377382995522,2947,2941
0.8032337005612527,2941,2940
0.8024304668606914,2940,2938
0.8016280363938307,2940,2934
0.8008264083574369,2934,2919
0.8000255819490795,2919,2913
0.7992255563671304,2913,2910
0.7984263308107633,2910,2894
0.7976279044799526,2894,2894
0.7968302765754727,2898,2892
0.7960334462988972,2892,2886
0.7952374128525983,2886,2878
0.7944421754397457,2878,2871
0.7936477332643059,2871,2865
0.7928540855310416,2865,2863
0.7920612314455105,2863,2859
0.7912691702140651,2859,2859
0.790477901043851,2859,2855
0.7896874231428072,2855,2855
0.7888977357196644,2855,2855
0.7881088379839447,2855,2848
0.7873207291459607,2848,2844
0.7865334084168147,2844,2838
0.7857468750083979,2838,2836
0.7849611281333895,2836,2821
0.784176167005256,2821,2819
0.7833919908382508,2819,2819
0.7826085988474126,2819,2819
0.7818259902485653,2821,2819
0.7810441642583167,2819,2815
0.7802631200940584,2815,2815
0.7794828569739644,2815,2812
0.7787033741169904,2812,2812
0.7779246707428734,2812,2804
0.7771467460721305,2804,2804
0.7763695993260584,2804,2799
0.7755932297267324,2799,2795
0.7748176364970056,2795,2787
0.7740428188605086,2787,2783
0.7732687760416481,2785,2783
0.7724955072656065,2785,2777
0.7717230117583408,2779,2777
0.7709512887465825,2781,2777
0.7701803374578359,2781,2773
0.7694101571203781,2773,2771
0.7686407469632577,2771,2771
0.7678721062162944,2771,2771
0.7671042341100781,2773,2771
0.766337129875968,2775,2771
0.7655707927460921,2776,2770
0.764805221953346,2770,2766
0.7640404167313927,2766,2764
0.7632763763146613,2764,2760
0.7625130999383466,2760,2756
0.7617505868384082,2756,2756
0.7609888362515699,2756,2754
0.7602278474153183,2756,2752
0.759467619567903,2752,2746
0.7587081519483351,2746,2746
0.7579494437963867,2746,2746
0.7571914943525904,2746,2735
0.7564343028582378,2735,2733
0.7556778685553796,2733,2731
0.7549221906868242,2731,2731
0.7541672684961374,2731,2727
0.7534131012276413,2727,2727
0.7526596881264136,2727,2715
0.7519070284382872,2715,2713
0.7511551214098489,2715,2711
0.750403966288439,2713,2699
0.7496535623221505,2699,2697
0.7489039087598284,2697,2690
0.7481550048510686,2690,2688
0.7474068498462175,2688,2678
0.7466594429963713,2678,2674
0.745912783553375,2674,2674
0.7451668707698216,2674,2674
0.7444217038990517,2674,2674
0.7436772821951526,2674,2674
0.7429336049129575,2674,2672
0.7421906713080445,2672,2670
0.7414484806367364,2670,2670
0.7407070321560997,2672,2670
0.7399663251239436,2670,2670
0.7392263587988196,2670,2670
0.7384871324400207,2672,2670
0.7377486453075807,2674,2668
0.737010896662273,2670,2664
0.7362738857656108,2664,2654
0.7355376118798452,2654,2648
0.7348020742679654,2648,2648
0.7340672721936974,2648,2646
0.7333332049215037,2646,2646
0.7325998717165821,2648,2646
0.7318672718448656,2648,2646
0.7311354045730207,2648,2646
0.7304042691684477,2648,2646
0.7296738648992792,2648,2641
0.7289441910343799,2641,2637
0.7282152468433455,2637,2637
0.7274870315965022,2637,2637
0.7267595445649057,2638,2636
0.7260327850203407,2636,2636
0.7253067522353204,2636,2634
0.724581445483085,2634,2628
0.723856864037602,2628,2624
0.7231330071735643,2624,2617
0.7224098741663908,2617,2617
0.7216874642922244,2617,2610
0.7209657768279322,2610,2608
0.7202448110511043,2608,2608
0.7195245662400531,2608,2608
0.7188050416738131,2609,2607
0.7180862366321393,2607,2605
0.7173681503955072,2605,2605
0.7166507822451117,2605,2602
0.7159341314628666,2602,2596
0.7152181973314037,2596,2596
0.7145029791340722,2596,2592
0.7137884761549381,2592,2592
0.7130746876787832,2592,2591
0.7123616129911045,2593,2591
0.7116492513781133,2595,2591
0.7109376021267352,2595,2591
0.7102266645246085,2595,2591
0.7095164378600839,2591,2591
0.7088069214222238,2591,2591
0.7080981145008015,2593,2589
0.7073900163863007,2589,2589
0.7066826263699144,2589,2585
0.7059759437435444,2585,2585
0.7052699677998009,2587,2585
0.704564697832001,2587,2583
0.7038601331341691,2583,2581
0.7031562730010349,2581,2581
0.7024531167280339,2581,2581
0.7017506636113059,2581,2581
0.7010489129476946,2581,2579
0.7003478640347469,2579,2578
0.6996475161707122,2578,2578
0.6989478686545415,2578,2578
0.698248920785887,2578,2576
0.6975506718651011,2576,2576
0.6968531211932361,2576,2576
0.6961562680720428,2576,2572
0.6954601118039707,2572,2564
0.6947646516921667,2564,2562
0.6940698870404746,2562,2562
0.6933758171534341,2562,2562
0.6926824413362807,2562,2552
0.6919897588949444,2552,2551
0.6912977691360495,2551,2549
0.6906064713669134,2549,2549
0.6899158648955466,2549,2549
0.689225949030651,2551,2549
0.6885367230816204,2549,2547
0.6878481863585387,2547,2547
0.6871603381721801,2549,2547
0.686473177834008,2549,2547
0.685786704656174,2549,2547
0.6851009179515178,2549,2547
0.6844158170335664,2549,2546
0.6837314012165328,2546,2546
0.6830476698153162,2546,2540
0.6823646221455009,2540,2540
0.6816822575233553,2540,2538
0.6810005752658319,2538,2536
0.680319574690566,2536,2530
0.6796392551158754,2530,2530
0.6789596158607596,2530,2528
0.6782806562448989,2528,2526
0.677602375588654,2526,2526
0.6769247732130653,2526,2522
0.6762478484398523,2522,2516
0.6755716005914124,2516,2512
0.674896028990821,2512,2510
0.6742211329618302,2510,2510
0.6735469118288684,2510,2508
0.6728733649170395,2509,2507
0.6722004915521225,2507,2507
0.6715282910605703,2507,2507
0.6708567627695098,2507,2507
0.6701859060067403,2507,2501
0.6695157201007336,2505,2501
0.6688462043806328,2507,2501
0.6681773581762521,2505,2501
0.6675091808180759,2505,2499
0.6668416716372578,2499,2496
0.6661748299656206,2496,2494
0.6655086551356549,2494,2494
0.6648431464805192,2494,2494
0.6641783033340387,2494,2494
0.6635141250307047,2494,2492
0.662850610905674,2492,2492
0.6621877602947683,2492,2488
0.6615255725344735,2488,2488
0.660864046961939,2488,2484
0.660203182914977,2484,2482
0.6595429797320621,2482,2473
0.6588834367523301,2473,2471
0.6582245533155777,2475,2471
0.6575663287622622,2471,2471
0.6569087624334999,2471,2471
0.6562518536710664,2471,2469
0.6555956018173954,2469,2467
0.654940006215578,2467,2467
0.6542850662093624,2469,2467
0.6536307811431531,2469,2467
0.65297715036201,2469,2463
0.6523241732116479,2463,2461
0.6516718490384363,2461,2461
0.6510201771893979,2461,2459
0.6503691570122084,2459,2459
0.6497187878551962,2459,2457
0.649069069067341,2457,2457
0.6484199999982736,2457,2457
0.6477715799982753,2457,2455
0.647123808418277,2455,2453
0.6464766846098587,2453,2453
0.6458302079252489,2453,2453
0.6451843777173236,2453,2453
0.6445391933396063,2454,2453
0.6438946541462667,2454,2453
0.6432507594921204,2456,2453
0.6426075087326283,2456,2453
0.6419649012238956,2456,2453
0.6413229363226717,2453,2453
0.640681613386349,2455,2453
0.6400409317729626,2455,2453
0.6394008908411897,2455,2453
0.6387614899503485,2455,2453
0.6381227284603982,2455,2453
0.6374846057319378,2455,2453
0.6368471211262058,2455,2453
0.6362102740050796,2455,2453
0.6355740637310745,2455,2453
0.6349384896673435,2455,2452
0.6343035511776761,2452,2452
0.6336692476264985,2452,2452
0.6330355783788719,2452,2452
0.632402542800493,2452,2450
0.6317701402576925,2450,2450
0.6311383701174348,2450,2448
0.6305072317473174,2448,2448
0.6298767245155701,2448,2446
0.6292468477910546,2446,2446
0.6286176009432635,2446,2438
0.6279889833423202,2438,2432
0.6273609943589779,2432,2432
0.6267336333646188,2437,2432
0.6261068997312542,2433,2425
0.6254807928315229,2425,2425
0.6248553120386914,2425,2425
0.6242304567266527,2425,2425
0.623606226269926,2425,2425
0.6229826200436561,2425,2424
0.6223596374236124,2424,2424
0.6217372777861888,2424,2418
0.6211155405084027,2418,2416
0.6204944249678943,2416,2412
0.6198739305429264,2412,2412
0.6192540566123834,2412,2410
0.6186348025557711,2410,2410
0.6180161677532153,2410,2410
0.6173981515854621,2410,2410
0.6167807534338766,2412,2410
0.6161639726804428,2410,2408
0.6155478087077623,2408,2406
0.6149322608990545,2406,2406
0.6143173286381555,2406,2406
0.6137030113095173,2406,2406
0.6130893082982078,2406,2404
0.6124762189899097,2404,2400
0.6118637427709198,2400,2400
0.6112518790281489,2400,2399
0.6106406271491208,2399,2399
0.6100299865219717,2399,2399
0.6094199565354498,2399,2398
0.6088105365789144,2398,2396
0.6082017260423355,2398,2396
0.6075935243162931,2397,2396
0.6069859307919768,2397,2396
0.6063789448611848,2397,2393
0.6057725659163237,2393,2391
0.6051667933504074,2391,2391
0.6045616265570569,2391,2389
0.6039570649304998,2389,2388
0.6033531078655693,2388,2376
0.6027497547577038,2376,2376
0.602147005002946,2376,2376
0.6015448579979431,2376,2376
0.6009433131399452,2378,2376
0.6003423698268052,2378,2376
0.5997420274569785,2376,2374
0.5991422854295215,2374,2372
0.598543143144092,2372,2370
0.5979446000009478,2370,2370
0.5973466554009469,2370,2368
0.596749308745546,2368,2364
0.5961525594368005,2364,2364
0.5955564068773637,2364,2364
0.5949608504704863,2364,2364
0.5943658896200158,2364,2364
0.5937715237303958,2364,2362
0.5931777522066654,2362,2362
0.5925845744544587,2362,2362
0.5919919898800042,2362,2360
0.5913999978901242,2360,2360
0.590808597892234,2360,2360
0.5902177892943418,2360,2360
0.5896275715050474,2360,2358
0.5890379439335424,2360,2358
0.5884489059896089,2360,2358
0.5878604570836192,2360,2358
0.5872725966265356,2360,2358
0.5866853240299091,2362,2358
0.5860986387058792,2362,2358
0.5855125400671733,2362,2358
0.5849270275271061,2362,2358
0.584342100499579,2362,2358
0.5837577583990794,2362,2358
0.5831740006406804,2362,2358
0.5825908266400397,2358,2358
0.5820082358133997,2358,2352
0.5814262275775862,2352,2350
0.5808448013500086,2350,2342
0.5802639565486586,2342,2342
0.57968369259211,2342,2338
0.5791040088995179,2338,2338
0.5785249048906184,2338,2336
0.5779463799857277,2336,2332
0.577368433605742,2332,2331
0.5767910651721362,2331,2329
0.576214274106964,2329,2327
0.5756380598328571,2329,2327
0.5750624217730242,2329,2327
0.5744873593512512,2329,2325
0.5739128719918999,2325,2325
0.573338959119908,2327,2325
0.572765620160788,2327,2325
0.5721928545406272,2326,2325
0.5716206616860866,2326,2324
0.5710490410244006,2324,2322
0.5704779919833761,2322,2319
0.5699075139913927,2319,2315
0.5693376064774013,2315,2315
0.5687682688709239,2315,2309
0.5681995006020529,2309,2309
0.5676313011014509,2309,2309
0.5670636698003494,2311,2309
0.5664966061305491,2311,2309
0.5659301095244186,2311,2304
0.5653641794148941,2304,2304
0.5647988152354793,2304,2302
0.5642340164202437,2302,2302
0.5636697824038235,2302,2302
0.5631061126214196,2302,2300
0.5625430065087982,2300,2300
0.5619804635022894,2300,2300
0.561418483038787,2300,2300
0.5608570645557482,2300,2298
0.5602962074911925,2298,2298
0.5597359112837013,2298,2298
0.5591761753724176,2298,2298
0.5586169991970452,2298,2292
0.5580583821978482,2292,2292
0.5575003238156504,2294,2292
0.5569428234918348,2294,2292
0.5563858806683429,2294,2292
0.5558294947876746,2292,2292
0.5552736652928869,2292,2292
0.5547183916275941,2292,2292
0.5541636732359665,2292,2292
0.5536095095627305,2292,2292
0.5530559000531677,2292,2292
0.5525028441531146,2292,2292
0.5519503413089615,2292,2292
0.5513983909676525,2292,2292
0.5508469925766849,2292,2292
0.5502961455841082,2292,2292
0.5497458494385241,2292,2292
0.5491961035890855,2292,2290
0.5486469074854965,2290,2290
0.548098260578011,2290,2290
0.547550162317433,2290,2289
0.5470026121551156,2289,2289
0.5464556095429605,2289,2289
0.5459091539334175,2291,2289
0.5453632447794842,2291,2287
0.5448178815347047,2287,2287
0.54427306365317,2287,2284
0.5437287905895168,2284,2284
0.5431850617989273,2284,2284
0.5426418767371284,2284,2284
0.5420992348603912,2284,2284
0.5415571356255309,2284,2281
0.5410155784899053,2281,2279
0.5404745629114154,2279,2276
0.539934088348504,2278,2276
0.5393941542601555,2279,2276
0.5388547601058953,2278,2276
0.5383159053457894,2278,2276
0.5377775894404436,2276,2276
0.5372398118510032,2276,2276
0.5367025720391522,2276,2276
0.536165869467113,2276,2276
0.5356297035976458,2276,2274
0.5350940738940482,2274,2268
0.5345589798201541,2268,2264
0.534024420840334,2264,2264
0.5334903964194936,2264,2260
0.5329569060230741,2260,2260
0.532423949117051,2260,2258
0.531891525167934,2258,2258
0.5313596336427661,2258,2258
0.5308282740091232,2258,2258
0.5302974457351142,2258,2258
0.5297671482893791,2258,2256
0.5292373811410898,2256,2252
0.5287081437599487,2252,2250
0.5281794356161887,2250,2250
0.5276512561805725,2250,2250
0.5271236049243919,2250,2250
0.5265964813194676,2250,2250
0.5260698848381481,2250,2250
0.5255438149533099,2250,2248
0.5250182711383566,2248,2248
0.5244932528672183,2248,2248
0.5239687596143511,2248,2246
0.5234447908547367,2246,2246
0.522921346063882,2246,2246
0.522398424717818,2248,2246
0.5218760262931003,2248,2246
0.5213541502668072,2248,2246
0.5208327961165404,2248,2246
0.5203119633204238,2248,2246
0.5197916513571034,2248,2246
0.5192718597057463,2248,2246
0.5187525878460405,2248,2246
0.5182338352581944,2247,2241
0.5177156014229363,2241,2241
0.5171978858215134,2241,2240
0.5166806879356919,2240,2240
0.5161640072477562,2240,2240
0.5156478432405085,2240,2240
0.515132195397268,2240,2238
0.5146170632018707,2238,2238
0.5141024461386688,2238,2238
0.5135883436925301,2238,2235
0.5130747553488376,2235,2235
0.5125616805934888,2235,2235
0.5120491189128954,2235,2230
0.5115370697939825,2230,2230
0.5110255327241885,2230,2230
0.5105145071914643,2230,2230
0.5100039926842729,2230,2230
0.5094939886915886,2230,2230
0.508984494702897,2230,2230
0.508475510208194,2230,2230
0.5079670346979859,2230,2230
0.5074590676632879,2230,2228
0.5069516085956246,2228,2228
0.506444656987029,2228,2228
0.505938212330042,2228,2228
0.505432274117712,2228,2228
0.5049268418435943,2228,2228
0.5044219150017507,2228,2224
0.5039174930867489,2224,2222
0.5034135755936622,2222,2219
0.5029101620180685,2219,2219
0.5024072518560504,2219,2219
0.5019048446041944,2219,2219
0.5014029397595902,2219,2217
0.5009015368198305,2217,2217
0.5004006352830107,2217,2217
0.4999002346477277,2217,2217
0.49940033441307996,2217,2215
0.49890093407866687,2215,2215
0.4984020331445882,2215,2215
0.4979036311114436,2215,2215
0.4974057274803321,2215,2215
0.49690832175285177,2215,2213
0.4964114134310989,2213,2213
0.4959150020176678,2213,2213
0.49541908701565013,2213,2213
0.49492366792863446,2213,2213
0.4944287442607058,2213,2213
0.4939343155164451,2213,2213
0.4934403812009287,2213,2213
0.4929469408197278,2213,2213
0.49245399387890804,2213,2213
0.4919615398850291,2213,2213
0.4914695783451441,2213,2213
0.4909781087667989,2213,2213
0.4904871306580321,2213,2210
0.4899966435273741,2210,2210
0.4895066468838467,2210,2208
0.48901714023696286,2208,2204
0.4885281230967259,2204,2204
0.48803959497362914,2204,2204
0.4875515553786555,2204,2204
0.48706400382327686,2204,2204
0.4865769398194536,2204,2202
0.48609036287963414,2202,2202
0.48560427251675453,2202,2202
0.48511866824423777,2202,2202
0.4846335495759935,2202,2202
0.4841489160264175,2202,2200
0.4836647671103911,2200,2200
0.4831811023432807,2200,2200
0.4826979212409374,2200,2198
0.48221522331969646,2198,2198
0.48173300809637676,2198,2198
0.48125127508828036,2198,2198
0.48077002381319206,2198,2198
0.48028925378937887,2198,2198
0.47980896453558947,2198,2198
0.4793291555710539,2198,2198
0.47884982641548285,2198,2198
0.47837097658906735,2198,2198
0.47789260561247826,2198,2198
0.4774147130068658,2198,2198
0.4769372982938589,2198,2198
0.47646036099556505,2198,2196
0.47598390063456947,2196,2196
0.4755079167339349,2196,2196
0.47503240881720094,2196,2196
0.47455737640838375,2196,2196
0.47408281903197536,2196,2196
0.47360873621294336,2196,2196
0.4731351274767304,2196,2196
0.4726619923492537,2196,2196
0.47218933035690447,2196,2196
0.47171714102654755,2196,2196
0.471245423885521,2196,2194
0.47077417846163544,2194,2192
0.4703034042831738,2192,2190
0.46983310087889063,2190,2190
0.46936326777801174,2190,2190
0.4688939045102337,2190,2190
0.4684250106057235,2190,2190
0.46795658559511777,2190,2190
0.46748862900952265,2190,2190
0.4670211403805131,2190,2190
0.4665541192401326,2190,2187
0.4660875651208925,2187,2187
0.4656214775557716,2187,2187
0.46515585607821586,2187,2187
0.46469070022213765,2187,2183
0.4642260095219155,2183,2183
0.4637617835123936,2183,2183
0.46329802172888124,2183,2183
0.46283472370715234,2183,2183
0.46237188898344517,2183,2183
0.4619095170944617,2183,2183
0.46144760757736725,2183,2179
0.46098615996978987,2179,2179
0.46052517380982005,2179,2179
0.4600646486360102,2179,2179
