step,temperature,best_hpwl,current_hpwl,accepted_moves,boltzmann_prob,elapsed_time_sec
1.0,100.0,278370.0,288929.0,336112.0,0.9900498337491681,2.5272369384765625e-05
2.0,99.9,278252.0,283430.0,334556.0,0.9900399233900233,1.5912771224975586
3.0,99.8001,278252.0,283187.0,334425.0,0.9900300032099504,2.6676101684570312
4.0,99.7002999,278252.0,289632.0,333279.0,0.9900200731993166,3.7700581550598145
5.0,99.60059960010001,277552.0,286612.0,333423.0,0.99001013334848,4.855683088302612
6.0,99.50099900049992,277552.0,283893.0,333691.0,0.9900001836477892,5.935511112213135
7.0,99.40149800149942,277552.0,288529.0,332822.0,0.9899902240875837,6.99962306022644
8.0,99.30209650349792,277552.0,284283.0,331993.0,0.9899802546581938,8.063467025756836
9.0,99.20279440699443,277552.0,287717.0,331892.0,0.9899702753499403,9.125455141067505
10.0,99.10359161258744,277552.0,284998.0,331914.0,0.9899602861531349,10.18898320198059
11.0,99.00448802097485,277452.0,282909.0,329723.0,0.9899502870580799,11.27609395980835
12.0,98.90548353295387,277430.0,284745.0,329460.0,0.9899402780550682,12.357434272766113
13.0,98.8065780494209,277430.0,283271.0,328576.0,0.9899302591343837,13.499950170516968
14.0,98.70777147137149,276350.0,287313.0,329293.0,0.9899202302863006,14.60719633102417
15.0,98.60906369990012,276350.0,284583.0,328324.0,0.9899101915010842,15.726904153823853
16.0,98.51045463620022,276350.0,285489.0,327848.0,0.9899001427689899,16.863749265670776
17.0,98.41194418156402,276350.0,286219.0,327056.0,0.9898900840802641,17.932217121124268
18.0,98.31353223738246,276350.0,290346.0,326128.0,0.9898800154251439,18.995752096176147
19.0,98.21521870514508,276350.0,284386.0,326742.0,0.9898699367938569,20.05952525138855
20.0,98.11700348643993,276350.0,285014.0,326019.0,0.9898598481766213,21.119367122650146
21.0,98.01888648295349,276350.0,283623.0,326174.0,0.989849749563646,22.189398050308228
22.0,97.92086759647054,275334.0,286686.0,325332.0,0.9898396409451304,23.24884009361267
23.0,97.82294672887407,275334.0,284949.0,324746.0,0.9898295223112648,24.31121325492859
24.0,97.7251237821452,274816.0,282814.0,324404.0,0.9898193936522294,25.37052607536316
25.0,97.62739865836306,274816.0,284828.0,323725.0,0.9898092549581958,26.48128318786621
26.0,97.5297712597047,274816.0,286204.0,323169.0,0.9897991062193257,27.59200429916382
27.0,97.432241488445,274816.0,283602.0,322614.0,0.9897889474257713,28.650938272476196
28.0,97.33480924695655,274816.0,281647.0,322102.0,0.9897787785676758,29.70684814453125
29.0,97.2374744377096,274816.0,284535.0,321581.0,0.9897685996351725,30.763931274414062
30.0,97.14023696327189,273546.0,286668.0,321372.0,0.9897584106183854,31.81783127784729
31.0,97.04309672630862,273546.0,283484.0,320607.0,0.9897482115074292,32.88087034225464
32.0,96.94605362958231,273546.0,281174.0,320352.0,0.9897380022924087,33.93104815483093
33.0,96.84910757595273,273546.0,285517.0,319938.0,0.9897277829634196,34.988837242126465
34.0,96.75225846837678,273546.0,284001.0,319368.0,0.9897175535105479,36.0662682056427
35.0,96.65550620990841,273546.0,281947.0,319117.0,0.9897073139238702,37.12808132171631
36.0,96.5588507036985,273546.0,284524.0,318242.0,0.9896970641934537,38.176881313323975
37.0,96.4622918529948,273546.0,284711.0,317355.0,0.9896868043093556,39.22310400009155
38.0,96.3658295611418,273546.0,280975.0,317281.0,0.9896765342616242,40.26995825767517
39.0,96.26946373158066,273546.0,287147.0,317606.0,0.9896662540402976,41.31615424156189
40.0,96.17319426784907,273546.0,280972.0,316957.0,0.9896559636354051,42.3576602935791
41.0,96.07702107358122,273546.0,278775.0,316077.0,0.9896456630369658,43.398168087005615
42.0,95.98094405250764,273546.0,282401.0,316044.0,0.9896353522349894,44.43816924095154
43.0,95.88496310845512,273546.0,283640.0,315300.0,0.9896250312194763,45.48046898841858
44.0,95.78907814534666,273546.0,286385.0,314543.0,0.989614699980417,46.526719093322754
45.0,95.69328906720132,273546.0,282454.0,314204.0,0.9896043585077925,47.56755614280701
46.0,95.59759577813412,273546.0,280896.0,314258.0,0.9895940067915743,48.61084818840027
47.0,95.50199818235599,273546.0,287166.0,314344.0,0.9895836448217241,49.649325132369995
