step,temperature,best_hpwl,current_hpwl,accepted_moves,boltzmann_prob,elapsed_time_sec
1.0,10.0,2140537.0,2140537.0,9953.0,0.9048374180359595,0.001016378402709961
2.0,9.99,1788838.0,1788838.0,5019.0,0.9047468482529377,18.295936822891235
3.0,9.98001,1601674.0,1601674.0,3667.0,0.9046561968886792,27.502401113510132
4.0,9.97002999,1491517.0,1491517.0,2862.0,0.9045654638787952,33.53424787521362
5.0,9.96005996001,1401742.0,1401742.0,2449.0,0.9044746491588648,38.31707763671875
6.0,9.95009990004999,1335653.0,1335653.0,2123.0,0.904383752664434,42.44241952896118
7.0,9.940149800149939,1281175.0,1281175.0,1959.0,0.9042927743310167,46.0401074886322
8.0,9.93020965034979,1237710.0,1237710.0,1745.0,0.9042017140940946,49.0571722984314
9.0,9.92027944069944,1197414.0,1197438.0,1700.0,0.9041105718891163,52.040969371795654
10.0,9.910359161258741,1164565.0,1164577.0,1603.0,0.9040193476514986,54.642165422439575
11.0,9.900448802097483,1134778.0,1134780.0,1499.0,0.9039280413166257,57.04810094833374
12.0,9.890548353295385,1110803.0,1110803.0,1382.0,0.9038366528198497,59.28181791305542
13.0,9.88065780494209,1087701.0,1087701.0,1336.0,0.9037451820964901,61.16421413421631
14.0,9.870777147137147,1068531.0,1068531.0,1241.0,0.9036536290818343,62.87316107749939
15.0,9.86090636999001,1050258.0,1050258.0,1190.0,0.9035619937111373,64.57536482810974
16.0,9.85104546362002,1033394.0,1033410.0,1192.0,0.9034702759196221,66.12462997436523
17.0,9.8411944181564,1016012.0,1016016.0,1207.0,0.9033784756424792,67.73993968963623
18.0,9.831353223738244,1001405.0,1001409.0,1135.0,0.9032865928148672,69.27221012115479
19.0,9.821521870514506,987225.0,987248.0,1092.0,0.9031946273719123,70.51122212409973
20.0,9.81170034864399,974559.0,974603.0,1069.0,0.9031025792487087,71.79662418365479
21.0,9.801888648295346,962768.0,962768.0,1032.0,0.9030104483803185,73.05080032348633
22.0,9.79208675964705,953166.0,953174.0,976.0,0.9029182347017718,74.64309048652649
23.0,9.782294672887403,943119.0,943171.0,921.0,0.9028259381480663,75.77009606361389
24.0,9.772512378214515,934073.0,934073.0,966.0,0.9027335586541682,76.90323615074158
25.0,9.7627398658363,924507.0,924509.0,918.0,0.9026410961550111,78.1137444972992
26.0,9.752977125970464,914857.0,914857.0,901.0,0.9025485505854971,79.23756885528564
27.0,9.743224148844494,905129.0,905129.0,897.0,0.9024559218804963,80.30730199813843
28.0,9.73348092469565,896676.0,896676.0,903.0,0.9023632099748465,81.3933937549591
29.0,9.723747443770954,890038.0,890052.0,879.0,0.902270414803354,82.47249913215637
30.0,9.714023696327184,882974.0,882976.0,864.0,0.9021775363007932,83.39851689338684
31.0,9.704309672630856,874493.0,874503.0,865.0,0.9020845744019065,84.30834317207336
32.0,9.694605362958225,867302.0,867302.0,808.0,0.9019915290414043,85.202308177948
33.0,9.684910757595267,860230.0,860246.0,793.0,0.9018984001539658,86.1070487499237
34.0,9.675225846837671,853857.0,853857.0,821.0,0.9018051876742379,87.11706614494324
35.0,9.665550620990834,847998.0,847998.0,723.0,0.901711891536836,88.03082990646362
