step,temperature,best_hpwl,current_hpwl,accepted_moves,boltzmann_prob,elapsed_time_sec
1.0,10.0,22.0,22.0,85.0,0.9048374180359595,1.6927719116210938e-05
2.0,9.99,22.0,26.0,78.0,0.9047468482529377,0.0003566741943359375
3.0,9.98001,22.0,27.0,89.0,0.9046561968886792,0.000659942626953125
4.0,9.97002999,22.0,28.0,79.0,0.9045654638787952,0.0009758472442626953
5.0,9.96005996001,22.0,23.0,83.0,0.9044746491588648,0.0012807846069335938
6.0,9.95009990004999,22.0,25.0,85.0,0.904383752664434,0.0015816688537597656
7.0,9.940149800149939,22.0,29.0,81.0,0.9042927743310167,0.0018918514251708984
8.0,9.93020965034979,22.0,23.0,90.0,0.9042017140940946,0.0021767616271972656
9.0,9.92027944069944,22.0,23.0,79.0,0.9041105718891163,0.0025069713592529297
10.0,9.910359161258741,22.0,30.0,89.0,0.9040193476514986,0.0028057098388671875
11.0,9.900448802097483,22.0,28.0,87.0,0.9039280413166257,0.0031108856201171875
12.0,9.890548353295385,22.0,22.0,84.0,0.9038366528198497,0.0034246444702148438
13.0,9.88065780494209,22.0,28.0,77.0,0.9037451820964901,0.0037276744842529297
14.0,9.870777147137147,22.0,26.0,88.0,0.9036536290818343,0.0040318965911865234
15.0,9.86090636999001,22.0,26.0,92.0,0.9035619937111373,0.004343748092651367
16.0,9.85104546362002,22.0,25.0,81.0,0.9034702759196221,0.004654884338378906
17.0,9.8411944181564,22.0,27.0,88.0,0.9033784756424792,0.0049588680267333984
18.0,9.831353223738244,22.0,22.0,89.0,0.9032865928148672,0.005280733108520508
19.0,9.821521870514506,22.0,24.0,86.0,0.9031946273719123,0.005597829818725586
20.0,9.81170034864399,22.0,22.0,86.0,0.9031025792487087,0.0059146881103515625
21.0,9.801888648295346,22.0,24.0,78.0,0.9030104483803185,0.006247758865356445
22.0,9.79208675964705,22.0,24.0,79.0,0.9029182347017718,0.0065326690673828125
23.0,9.782294672887403,22.0,23.0,84.0,0.9028259381480663,0.006827592849731445
24.0,9.772512378214515,22.0,26.0,81.0,0.9027335586541682,0.0071408748626708984
25.0,9.7627398658363,22.0,23.0,87.0,0.9026410961550111,0.007431745529174805
26.0,9.752977125970464,22.0,25.0,85.0,0.9025485505854971,0.007750749588012695
27.0,9.743224148844494,22.0,25.0,86.0,0.9024559218804963,0.008064031600952148
28.0,9.73348092469565,22.0,29.0,75.0,0.9023632099748465,0.00837087631225586
29.0,9.723747443770954,22.0,27.0,88.0,0.902270414803354,0.008662700653076172
30.0,9.714023696327184,22.0,25.0,83.0,0.9021775363007932,0.008983612060546875
31.0,9.704309672630856,22.0,23.0,88.0,0.9020845744019065,0.009285926818847656
32.0,9.694605362958225,22.0,23.0,87.0,0.9019915290414043,0.009590625762939453
33.0,9.684910757595267,22.0,29.0,90.0,0.9018984001539658,0.009907960891723633
34.0,9.675225846837671,22.0,24.0,84.0,0.9018051876742379,0.010222673416137695
35.0,9.665550620990834,22.0,22.0,90.0,0.901711891536836,0.010537862777709961
36.0,9.655885070369843,22.0,25.0,84.0,0.9016185116763438,0.010852813720703125
37.0,9.646229185299473,22.0,28.0,75.0,0.901525048027313,0.011160850524902344
38.0,9.636582956114173,22.0,29.0,83.0,0.9014315005242642,0.011434555053710938
39.0,9.62694637315806,22.0,25.0,81.0,0.9013378691016861,0.011734724044799805
40.0,9.617319426784901,22.0,28.0,79.0,0.9012441536940357,0.012030839920043945
41.0,9.607702107358117,22.0,24.0,75.0,0.9011503542357384,0.012376785278320312
42.0,9.598094405250759,22.0,24.0,79.0,0.9010564706611884,0.01275181770324707
43.0,9.588496310845509,22.0,25.0,82.0,0.9009625029047481,0.01305389404296875
44.0,9.578907814534663,22.0,28.0,85.0,0.9008684509007485,0.013361930847167969
45.0,9.569328906720129,22.0,24.0,83.0,0.9007743145834891,0.013666629791259766
46.0,9.55975957781341,22.0,23.0,75.0,0.9006800938872381,0.0139617919921875
47.0,9.550199818235596,22.0,26.0,93.0,0.9005857887462322,0.014236927032470703
48.0,9.54064961841736,22.0,23.0,79.0,0.9004913990946766,0.01454782485961914
49.0,9.531108968798943,22.0,24.0,92.0,0.9003969248667455,0.014847993850708008
50.0,9.521577859830144,22.0,23.0,83.0,0.9003023659965814,0.015157699584960938
51.0,9.512056281970313,22.0,25.0,85.0,0.900207722418296,0.015455007553100586
52.0,9.502544225688343,22.0,26.0,86.0,0.9001129940659692,0.015758752822875977
53.0,9.493041681462655,22.0,30.0,73.0,0.9000181808736503,0.016080856323242188
54.0,9.483548639781192,22.0,24.0,83.0,0.8999232827753565,0.01636981964111328
55.0,9.47406509114141,22.0,24.0,72.0,0.8998282997050749,0.01666259765625
56.0,9.464591026050268,22.0,25.0,76.0,0.8997332315967607,0.016940832138061523
57.0,9.455126435024217,22.0,25.0,83.0,0.8996380783843384,0.017225980758666992
58.0,9.445671308589192,22.0,25.0,86.0,0.8995428400017011,0.017526626586914062
59.0,9.436225637280604,22.0,25.0,82.0,0.8994475163827113,0.01781177520751953
60.0,9.426789411643323,22.0,24.0,78.0,0.8993521074612001,0.0181119441986084
61.0,9.41736262223168,22.0,22.0,74.0,0.8992566131709677,0.01840376853942871
62.0,9.407945259609448,22.0,29.0,78.0,0.8991610334457835,0.01867961883544922
63.0,9.39853731434984,22.0,23.0,87.0,0.8990653682193858,0.01898479461669922
64.0,9.38913877703549,22.0,23.0,86.0,0.8989696174254821,0.01929759979248047
65.0,9.379749638258454,22.0,29.0,85.0,0.8988737809977492,0.019597768783569336
66.0,9.370369888620196,22.0,23.0,83.0,0.8987778588698327,0.01990675926208496
67.0,9.360999518731576,22.0,25.0,85.0,0.8986818509753478,0.02019786834716797
68.0,9.351638519212845,22.0,24.0,78.0,0.8985857572478786,0.020486831665039062
69.0,9.342286880693631,22.0,25.0,89.0,0.8984895776209788,0.020819902420043945
70.0,9.332944593812938,22.0,26.0,71.0,0.8983933120281711,0.0211179256439209
71.0,9.323611649219124,22.0,26.0,84.0,0.8982969604029476,0.021405935287475586
72.0,9.314288037569906,22.0,26.0,77.0,0.89820052267877,0.021712779998779297
73.0,9.304973749532335,22.0,24.0,75.0,0.8981039987890691,0.021988868713378906
74.0,9.295668775782802,22.0,24.0,81.0,0.8980073886672453,0.022261619567871094
75.0,9.28637310700702,22.0,25.0,77.0,0.8979106922466684,0.022545814514160156
